trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-284.55035192732015,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 6}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-39.79422812501637,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-132.8446265233717,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-106.0815833675682,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-225.80234271092766,"{0: 18, 1: 4, 2: 9, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-147.98142588938543,"{0: 7, 1: 1, 2: 11, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-176.00172876962486,"{0: 7, 1: 1, 2: 10, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-145.23850608618943,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-65.43412877864554,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-195.12442332500956,"{0: 8, 1: 0, 2: 9, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,15,-115.62866947558555,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-86.32604237596789,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-234.98799747014283,"{0: 7, 1: 1, 2: 14, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-141.8694736954505,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-217.6818682048895,"{0: 15, 1: 1, 2: 11, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-191.94508853825894,"{0: 5, 1: 2, 2: 11, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-103.44977709485437,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-179.04871246335938,"{0: 8, 1: 0, 2: 10, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-116.32348026762314,"{0: 17, 1: 0, 2: 13, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-86.74372394177036,"{0: 15, 1: 0, 2: 10, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-254.37771976991124,"{0: 6, 1: 0, 2: 10, 3: 0, 4: 4}",0
2,True,"{'a': 0, 'e': 0}",20,0,-124.41292393239576,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-93.35776069699386,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-382.193402726335,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 8}",0
5,True,"{'a': 0, 'e': 0}",30,0,-289.03645849521416,"{0: 14, 1: 0, 2: 11, 3: 0, 4: 5}",0
6,True,"{'a': 0, 'e': 0}",30,0,-165.93441130645616,"{0: 15, 1: 0, 2: 14, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-338.23339112072006,"{0: 8, 1: 0, 2: 11, 3: 0, 4: 6}",0
8,True,"{'a': 0, 'e': 0}",30,0,-320.55949458215,"{0: 9, 1: 0, 2: 17, 3: 0, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",30,0,-334.1790531613302,"{0: 11, 1: 0, 2: 14, 3: 0, 4: 5}",0
10,True,"{'a': 0, 'e': 0}",30,0,-300.9449557440503,"{0: 11, 1: 0, 2: 15, 3: 0, 4: 4}",0
