trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9999995000000417}",30,18,-41.46231392466173,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
2,False,"{'a': 0.1, 'e': 0.9999980000006666}",20,0,-58.743201366205895,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.1, 'e': 0.999995500003375}",20,0,-169.99852403541902,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 4}",0
4,False,"{'a': 0.1, 'e': 0.9999920000106667}",20,0,-81.94932434923463,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.9999875000260416}",20,7,-56.93926049355429,"{0: 6, 1: 1, 2: 6, 3: 0, 4: 0}",1
6,False,"{'a': 0.1, 'e': 0.999982000054}",20,9,-28.49919849389626,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 0}",1
7,False,"{'a': 0.1, 'e': 0.9999755001000415}",25,0,-114.24178197545157,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.9999680001706663}",25,0,-43.81567883267976,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.9999595002733742}",25,0,-91.43285362014134,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.1, 'e': 0.9999500004166653}",25,0,-331.0919600102132,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 6}",0
11,False,"{'a': 0.1, 'e': 0.9999395006100392}",20,0,-169.85789359113318,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
12,False,"{'a': 0.1, 'e': 0.9999280008639958}",20,12,-12.519875203676039,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.1, 'e': 0.9999155011900349}",20,0,-85.6201293212254,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.9999020016006562}",20,0,-266.1403729429865,"{0: 8, 1: 1, 2: 5, 3: 1, 4: 5}",0
15,False,"{'a': 0.1, 'e': 0.9998875021093592}",20,0,-93.39511560596257,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.9998720027306434}",20,0,-106.05916960678374,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
17,False,"{'a': 0.1, 'e': 0.9998555034800082}",25,6,-96.17978695279139,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 1}",1
18,False,"{'a': 0.1, 'e': 0.9998380043739528}",20,0,-104.88717776990538,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.9998195054299763}",25,0,-158.7233125583344,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
20,False,"{'a': 0.1, 'e': 0.9998000066665778}",25,0,-200.207711032112,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 3}",0
21,False,"{'a': 0.1, 'e': 0.9997795081032559}",25,0,-91.27810376483204,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.1, 'e': 0.9997580097605092}",30,0,-177.61223649027653,"{0: 17, 1: 1, 2: 7, 3: 4, 4: 1}",0
23,False,"{'a': 0.1, 'e': 0.9997355116598361}",30,0,-165.52941621191243,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
24,False,"{'a': 0.1, 'e': 0.9997120138237345}",20,9,-16.966922097400666,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 0.1, 'e': 0.9996875162757026}",25,0,-97.45587094938637,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
26,False,"{'a': 0.1, 'e': 0.9996620190402377}",20,0,-199.99811730174383,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
27,False,"{'a': 0.1, 'e': 0.9996355221428369}",20,0,-65.61014836246038,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
28,False,"{'a': 0.1, 'e': 0.9996080256099974}",35,20,-49.85961700322383,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
29,False,"{'a': 0.1, 'e': 0.9995795294692156}",20,0,-137.24986409228939,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
30,False,"{'a': 0.1, 'e': 0.9995500337489875}",20,0,-70.74117211261888,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
