trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.15, 'e': 0.15}",25,0,-235.20265602846226,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 5}",0
2,False,"{'a': 0.15, 'e': 0.0225}",30,0,-173.15248427781603,"{0: 15, 1: 6, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.15, 'e': 0.0033749999999999995}",30,0,-181.1008133824481,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
4,False,"{'a': 0.15, 'e': 0.00050625}",25,0,-107.49560880866771,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.15, 'e': 7.593749999999998e-05}",20,0,-153.77293695077952,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.15, 'e': 1.1390624999999997e-05}",25,0,-59.24691410126322,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.15, 'e': 1.7085937499999996e-06}",20,0,-101.16904824508954,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.15, 'e': 2.562890624999999e-07}",30,0,-151.61385106759488,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.15, 'e': 3.844335937499999e-08}",20,0,-105.70222658978935,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.15, 'e': 5.7665039062499975e-09}",25,0,-49.09094501796332,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.15, 'e': 8.649755859374996e-10}",35,0,-146.61863888266433,"{0: 20, 1: 5, 2: 8, 3: 1, 4: 1}",0
12,False,"{'a': 0.15, 'e': 1.2974633789062494e-10}",20,0,-94.7295329247482,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.15, 'e': 1.946195068359374e-11}",25,0,-115.06886577587478,"{0: 15, 1: 1, 2: 5, 3: 4, 4: 0}",0
14,False,"{'a': 0.15, 'e': 2.919292602539061e-12}",20,0,-112.45981769447084,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.15, 'e': 4.3789389038085913e-13}",25,0,-111.40690976058781,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.15, 'e': 6.568408355712887e-14}",25,0,-169.89548200491606,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
17,False,"{'a': 0.15, 'e': 9.852612533569329e-15}",20,0,-114.16733897956877,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.15, 'e': 1.4778918800353994e-15}",20,0,-98.99414040709283,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.15, 'e': 2.216837820053099e-16}",20,0,-97.33490413502605,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.15, 'e': 3.3252567300796485e-17}",20,0,-171.5292425697382,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,0,-97.79173767123874,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,3,-32.60556725104168,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,-13.041373286375753,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,-193.37081613767887,"{0: 11, 1: 2, 2: 8, 3: 2, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-124.48843763968073,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-111.9957498072553,"{0: 16, 1: 6, 2: 6, 3: 2, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-102.93053336873854,"{0: 9, 1: 1, 2: 9, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-185.27475501384248,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",30,0,-215.4078064845783,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",30,0,-223.99702854330604,"{0: 16, 1: 2, 2: 7, 3: 2, 4: 3}",0
11,True,"{'a': 0, 'e': 0}",30,10,-151.06175198041547,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",1
12,True,"{'a': 0, 'e': 0}",20,0,-64.42122541545993,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
13,True,"{'a': 0, 'e': 0}",25,0,-46.065869771824914,"{0: 20, 1: 3, 2: 0, 3: 1, 4: 1}",0
14,True,"{'a': 0, 'e': 0}",25,0,-163.93091891877924,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
15,True,"{'a': 0, 'e': 0}",30,0,-176.89574605183626,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
16,True,"{'a': 0, 'e': 0}",20,9,-47.7531765306691,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
17,True,"{'a': 0, 'e': 0}",20,0,-125.65115531506092,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
18,True,"{'a': 0, 'e': 0}",25,0,-192.69652473008594,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
19,True,"{'a': 0, 'e': 0}",20,12,-4.356189972860509,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,0,-159.8983782200971,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
